,gpuName,G3Dmark,G2Dmark,price,gpuValue,TDP,testDate,category
1479,Quadro FX 2700M,358,74,99.95,3.58,65.0,2009,Workstation
1481,GeForce GT 705,355,180,296.76,1.2,29.0,2014,Desktop
1486,GeForce 9600 GSO,350,118,49.99,7.0,84.0,2009,Desktop
1487,GeForce GT 130,347,143,151.34,2.3,75.0,2009,Desktop
1489,GeForce 7950 GT,344,189,203.99,1.69,,2011,Desktop
1490,FireGL V5600,341,445,225.0,1.52,,2009,Workstation
1491,FirePro 3D V3750,341,467,50.88,6.71,48.0,2009,Workstation
1497,FirePro RG220,335,552,650.18,0.52,35.0,2011,Workstation
1498,Intel HD 4000,333,187,1592.95,0.21,,2012,Unknown
1499,FirePro V3800,332,188,124.99,2.66,,2016,Unknown
1501,Radeon R4,332,101,396.99,0.84,,2014,Unknown
1502,Radeon R5 310,332,545,499.0,0.66,,2015,Unknown
1507,Radeon R5 235,329,176,60.13,5.47,35.0,2014,Desktop
1513,GeForce GT 230,322,80,43.99,7.32,,2009,Unknown
1519,Radeon HD 7470,316,177,81.37,3.89,27.0,2012,Desktop
1524,Quadro FX 3500M,306,309,99.99,3.06,45.0,2009,Workstation
1525,GeForce 605,305,179,136.83,2.23,,2012,Unknown
1527,GeForce GT 610,303,127,139.99,2.16,29.0,2012,Desktop
1532,GeForce GT 520,297,126,304.0,0.98,29.0,2011,Desktop
1539,Quadro FX 3500,292,106,68.98,4.23,80.0,2009,Workstation
1541,GeForce 7800 GTX,291,196,71.6,4.06,86.0,2009,Desktop
1544,GeForce GT 520M,288,74,29.95,9.62,12.0,2012,Mobile
1547,NVS 315,286,187,69.99,4.09,19.5,2014,Workstation
1548,Mobile Intel HD,285,164,479.98,0.59,,2011,Unknown
1551,Radeon HD 2600 XT,283,371,159.0,1.78,45.0,2011,Desktop
1564,Radeon HD 8490,265,173,89.99,2.94,35.0,2014,Desktop
1568,GeForce 7900 GT,258,160,199.0,1.3,,2009,Desktop
1570,GeForce 510,257,199,69.99,3.67,25.0,2011,Desktop
1571,Intel HD 3000,257,47,945.0,0.27,,2012,Unknown
1572,NVS 4200M,257,75,399.0,0.64,,2012,Workstation
1583,GeForce 7800 GT,244,273,80.0,3.05,,2009,Desktop
1585,NVS 310,242,179,62.06,3.9,19.5,2012,Workstation
1586,Quadro FX 5500,242,394,1999.0,0.12,96.0,2009,Workstation
1590,Radeon HD4650,240,99,152.9,1.57,,2012,Unknown
1595,Radeon HD 4550,236,429,156.0,1.51,20.0,2012,Desktop
1599,Radeon HD 6470M,228,104,569.99,0.4,,2012,Mobile
1600,Quadro FX 4500,226,143,169.0,1.34,109.0,2009,Workstation
1601,GT 430,223,325,142.88,1.56,,2013,Unknown
1602,Radeon R5 230,222,255,81.1,2.74,,2018,Unknown
1603,HD6450,221,417,108.2,2.04,,2016,Unknown
1605,Radeon HD 7450,221,147,49.99,4.42,18.0,2012,Desktop
1610,Radeon HD 4650,219,39,69.99,3.13,48.0,2011,Desktop
1611,Quadro FX 2500M,218,272,17.5,12.45,45.0,2009,Workstation
